median_house_value,total_bedrooms,population,house_holds,median_income,rooms_per_househole,population_per_househole,bedrooms_ratio
1.728,217.0,546.0,201.0,2.6667,4.75,2.72,0.23
3.367,262.0,620.0,266.0,5.4446,6.18,2.33,0.16
3.182,195.0,442.0,195.0,6.2838,6.95,2.27,0.14
2.858,336.0,955.0,328.0,6.7527,7.06,2.91,0.15
2.93,317.0,916.0,324.0,7.0712,7.59,2.83,0.13
3.71,2048.0,4985.0,1967.0,5.9849,6.53,2.53,0.16
1.573,260.0,651.0,267.0,3.6875,5.71,2.44,0.17
1.353,746.0,1704.0,703.0,2.875,4.73,2.42,0.22
1.367,440.0,1085.0,407.0,3.4205,4.88,2.67,0.22
1.607,322.0,713.0,284.0,3.2984,5.78,2.51,0.2
1.406,177.0,468.0,181.0,3.875,4.93,2.59,0.2
1.44,128.0,296.0,121.0,4.175,5.4,2.45,0.2
1.619,217.0,570.0,218.0,4.375,5.76,2.61,0.17
1.563,194.0,446.0,180.0,4.7708,5.43,2.48,0.2
1.76,397.0,968.0,384.0,3.5739,6.05,2.52,0.17
1.458,349.0,857.0,316.0,3.0958,5.01,2.71,0.22
1.419,342.0,912.0,322.0,3.3958,5.01,2.83,0.21
0.907,533.0,1360.0,452.0,1.871,5.36,3.01,0.22
0.906,367.0,1074.0,355.0,1.9356,4.49,3.03,0.23
1.079,413.0,965.0,382.0,2.1842,5.54,2.53,0.19
1.07,358.0,933.0,320.0,2.2917,4.92,2.92,0.23
0.982,397.0,987.0,354.0,2.4333,4.98,2.79,0.23
0.895,261.0,907.0,246.0,1.9479,4.83,3.69,0.22
0.938,175.0,447.0,165.0,3.9063,4.57,2.71,0.23
0.967,452.0,1299.0,451.0,1.8407,5.12,2.88,0.2
0.975,236.0,396.0,157.0,2.0786,5.79,2.52,0.26
0.973,257.0,877.0,268.0,2.8125,4.4,3.27,0.22
0.912,408.0,1111.0,367.0,1.8913,5.5,3.03,0.2
0.914,282.0,790.0,269.0,1.7056,5.09,2.94,0.21
0.962,547.0,1479.0,554.0,2.2768,4.95,2.67,0.2
1.201,471.0,1173.0,438.0,3.2552,4.81,2.68,0.22
1.0,362.0,1029.0,366.0,2.0556,4.78,2.81,0.21
0.947,391.0,1030.0,350.0,2.4659,5.78,2.94,0.19
0.857,259.0,826.0,279.0,1.75,4.0,2.96,0.23
0.893,510.0,1412.0,454.0,2.0469,4.48,3.11,0.25
1.014,393.0,1132.0,349.0,2.7159,5.31,3.24,0.21
0.725,207.0,522.0,159.0,1.2083,5.79,3.28,0.22
0.741,238.0,630.0,237.0,1.925,4.2,2.66,0.24
0.7,132.0,531.0,133.0,1.5809,4.56,3.99,0.22
0.846,736.0,1925.0,667.0,1.4097,4.02,2.89,0.27
0.818,370.0,1144.0,351.0,0.7683,4.25,3.26,0.25
0.814,565.0,1481.0,520.0,1.3194,4.24,2.85,0.26
0.818,189.0,435.0,162.0,0.8012,5.28,2.69,0.22
0.858,297.0,984.0,303.0,1.9479,4.27,3.25,0.23
0.871,212.0,567.0,159.0,1.1765,5.33,3.57,0.25
0.835,154.0,380.0,123.0,2.3456,4.4,3.09,0.28
0.797,253.0,825.0,244.0,2.1538,4.37,3.38,0.24
0.834,147.0,417.0,155.0,2.5139,4.56,2.69,0.21
0.847,291.0,801.0,287.0,1.2625,5.32,2.79,0.19
0.8,215.0,646.0,198.0,2.9063,4.59,3.26,0.24
0.764,293.0,855.0,285.0,2.5192,4.88,3.0,0.21
0.797,119.0,435.0,136.0,2.1111,4.03,3.2,0.22
0.824,874.0,2736.0,780.0,2.455,5.22,3.51,0.21
0.977,445.0,1481.0,414.0,2.4028,3.9,3.58,0.28
0.972,134.0,327.0,137.0,2.15,3.38,2.39,0.29
1.016,193.0,494.0,179.0,2.4776,4.57,2.76,0.24
0.865,371.0,1231.0,341.0,2.1587,4.32,3.61,0.25
0.905,126.0,323.0,109.0,1.8438,4.62,2.96,0.25
1.076,226.0,749.0,225.0,3.0298,4.56,3.33,0.22
0.842,183.0,693.0,178.0,2.25,4.32,3.89,0.24
0.889,391.0,1339.0,354.0,2.2467,5.94,3.78,0.19
0.807,76.0,282.0,80.0,4.0469,4.13,3.53,0.23
0.871,218.0,621.0,195.0,1.325,4.83,3.18,0.23
0.851,279.0,732.0,259.0,1.6196,3.83,2.83,0.28
0.82,261.0,901.0,260.0,2.1731,3.81,3.47,0.26
0.828,263.0,482.0,150.0,1.9167,7.51,3.21,0.23
0.846,233.0,652.0,213.0,2.069,4.86,3.06,0.22
0.821,214.0,651.0,166.0,1.712,6.31,3.92,0.2
0.893,307.0,999.0,286.0,2.5625,4.48,3.49,0.24
0.983,320.0,907.0,306.0,1.9821,5.19,2.96,0.2
0.923,271.0,828.0,230.0,2.5043,5.47,3.6,0.22
0.888,248.0,763.0,254.0,2.3281,4.8,3.0,0.2
0.9,390.0,935.0,349.0,1.4375,5.02,2.68,0.22
0.955,514.0,1437.0,484.0,2.5122,4.75,2.97,0.22
0.917,624.0,1516.0,482.0,1.5625,5.1,3.15,0.25
1.004,211.0,597.0,185.0,3.1587,5.39,3.23,0.21
0.948,343.0,949.0,342.0,1.8426,4.93,2.77,0.2
1.643,307.0,881.0,302.0,4.6696,6.05,2.92,0.17
1.555,574.0,1438.0,519.0,2.4598,5.36,2.77,0.21
1.969,286.0,763.0,270.0,6.0749,6.75,2.83,0.16
2.791,365.0,1297.0,355.0,4.8304,6.28,3.65,0.16
2.528,231.0,545.0,211.0,5.5701,7.17,2.58,0.15
2.754,491.0,1222.0,533.0,5.37,6.13,2.29,0.15
2.5,261.0,808.0,219.0,6.86,8.26,3.69,0.14
3.298,111.0,329.0,109.0,7.6923,7.28,3.02,0.14
1.955,105.0,299.0,109.0,4.0313,6.33,2.74,0.15
2.559,200.0,579.0,202.0,6.8323,6.6,2.87,0.15
3.111,54.0,137.0,50.0,4.975,8.28,2.74,0.13
3.3,93.0,229.0,93.0,5.3602,8.26,2.46,0.12
2.489,666.0,1476.0,648.0,5.0,6.79,2.28,0.15
1.429,161.0,429.0,154.0,2.925,6.19,2.79,0.17
1.263,256.0,849.0,255.0,3.8913,5.67,3.33,0.18
1.358,399.0,946.0,331.0,3.225,5.85,2.86,0.21
1.306,178.0,571.0,191.0,3.1458,4.48,2.99,0.21
1.079,454.0,1137.0,386.0,2.537,4.64,2.95,0.25
1.111,131.0,378.0,135.0,2.5568,4.57,2.8,0.21
1.22,275.0,853.0,272.0,3.5083,5.08,3.14,0.2
1.18,277.0,764.0,282.0,3.3125,4.7,2.71,0.21
0.952,294.0,928.0,261.0,1.8235,4.7,3.56,0.24
0.943,140.0,406.0,133.0,3.8047,5.02,3.05,0.21
0.925,281.0,824.0,280.0,2.2917,4.37,2.94,0.23
0.918,287.0,835.0,259.0,2.4962,5.32,3.22,0.21
1.094,300.0,826.0,295.0,4.0417,5.2,2.8,0.2
1.295,181.0,567.0,211.0,3.4844,4.88,2.69,0.18
1.434,147.0,355.0,144.0,4.1458,5.35,2.47,0.19
0.982,223.0,533.0,166.0,2.625,4.96,3.21,0.27
1.031,239.0,609.0,215.0,2.0227,5.1,2.83,0.22
2.768,238.0,576.0,236.0,3.3333,5.44,2.44,0.19
2.709,263.0,594.0,286.0,5.338,5.61,2.08,0.16
2.462,422.0,870.0,377.0,3.4732,5.96,2.31,0.19
2.242,522.0,1027.0,509.0,3.5125,4.45,2.02,0.23
2.291,349.0,693.0,326.0,3.1375,4.82,2.13,0.22
2.116,402.0,815.0,375.0,2.8036,4.05,2.17,0.26
2.561,1212.0,2420.0,1146.0,4.5824,4.44,2.11,0.24
2.063,293.0,518.0,276.0,3.0208,3.9,1.88,0.27
2.213,283.0,620.0,275.0,4.0875,4.54,2.25,0.23
2.074,291.0,551.0,266.0,4.5268,5.05,2.07,0.22
3.5,930.0,2556.0,924.0,1.7375,3.31,2.77,0.3
2.182,698.0,1498.0,696.0,3.1795,4.56,2.15,0.22
2.167,261.0,523.0,227.0,3.8672,5.33,2.3,0.22
2.706,175.0,374.0,153.0,5.1675,6.4,2.44,0.18
2.614,380.0,1004.0,371.0,5.1696,6.12,2.71,0.17
2.613,332.0,769.0,334.0,4.2614,5.52,2.3,0.18
2.322,421.0,940.0,423.0,5.0551,5.15,2.22,0.19
3.754,274.0,645.0,256.0,5.6228,6.45,2.52,0.17
3.573,279.0,705.0,288.0,7.8864,6.69,2.45,0.14
3.744,273.0,684.0,275.0,7.9556,7.56,2.49,0.13
3.588,240.0,572.0,236.0,6.174,7.64,2.42,0.13
4.175,270.0,671.0,253.0,6.9414,8.07,2.65,0.13
4.305,373.0,975.0,365.0,8.8342,8.35,2.67,0.12
3.629,328.0,779.0,312.0,7.1754,7.43,2.5,0.14
3.97,250.0,658.0,244.0,10.0825,8.21,2.7,0.12
3.468,328.0,819.0,335.0,4.9083,6.75,2.44,0.15
3.271,169.0,412.0,168.0,5.7912,7.29,2.45,0.14
2.901,408.0,835.0,369.0,4.5893,6.27,2.26,0.18
2.92,329.0,722.0,306.0,5.4171,6.76,2.36,0.16
2.709,473.0,1085.0,487.0,4.125,5.37,2.23,0.18
3.711,366.0,973.0,355.0,7.266,7.44,2.74,0.14
3.356,293.0,723.0,272.0,5.3989,7.27,2.66,0.15
